Doctor Name,Doctor Specialization,Hospital,Hospital Location,Contact Info,Doctor Experience (Years),Rating,Patient Count
Dr. Kiran Naidu,Cardiologist,Guntur Medical Center,Guntur,916416314667,28,3.7,891
Dr. Venkatesh Acharya,Cardiologist,Kakinada Global Hospital,Kakinada,918806569935,7,3.1,1541
Dr. Suresh Rao,Cardiologist,Vijayawada Trust Hospital,Vijayawada,916822873088,13,4.1,337
Dr. Naresh Varma,Cardiologist,Guntur Trust Hospital,Guntur,917986972437,16,4.7,204
Dr. Deepika Naidu,Cardiologist,Vizianagaram Apollo Hospital,Vizianagaram,916217275224,35,4.7,241
Dr. Naresh Raju,Cardiologist,Anantapur Institute of Medical Sciences,Anantapur,918085812759,31,3.4,871
Dr. Naresh Raju,Cardiologist,Hyderabad City Hospital,Hyderabad,916009257255,25,3.5,1655
Dr. Anil Raju,Cardiologist,Vijayawada Apollo Hospital,Vijayawada,918991837720,32,3.3,657
Dr. Venkatesh Sarma,Cardiologist,Hyderabad Global Hospital,Hyderabad,919159967109,35,3.1,692
Dr. Venkatesh Sarma,Cardiologist,Hyderabad General Hospital,Hyderabad,918047791082,33,4.8,1137
Dr. Venkatesh Murthy,Cardiologist,Hyderabad Global Hospital,Hyderabad,916344076115,12,3.1,189
Dr. Lakshmi Naidu,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,919823754905,16,4.2,131
Dr. Ramesh Raju,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,918823396242,34,3.6,584
Dr. Tejaswi Kumar,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,917349409434,16,3.5,318
Dr. Sridevi Goud,Cardiologist,Tirupati Medical Center,Tirupati,919990103355,5,3.0,1322
Dr. Suresh Naidu,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,918309122187,14,4.0,321
Dr. Ramesh Prakash,Cardiologist,Vijayawada Care Hospital,Vijayawada,917049193572,24,3.6,947
Dr. Sirisha Varma,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,918627135980,34,3.0,1723
Dr. Anil Prakash,Cardiologist,Visakhapatnam Super Speciality Hospital,Visakhapatnam,918849232839,7,4.9,325
Dr. Suresh Prakash,Cardiologist,Tirupati City Hospital,Tirupati,916459716009,10,3.5,1288
Dr. Sirisha Goud,Cardiologist,Anantapur Institute of Medical Sciences,Anantapur,916874443787,17,4.0,564
Dr. Ramesh Acharya,Cardiologist,Anantapur Super Speciality Hospital,Anantapur,917819244083,18,3.1,733
Dr. Soujanya Varma,Cardiologist,Hyderabad General Hospital,Hyderabad,916693989311,29,4.1,925
Dr. Srinivas Naidu,Cardiologist,Visakhapatnam Care Hospital,Visakhapatnam,916323169889,10,4.1,1759
Dr. Madhavi Murthy,Cardiologist,Vijayawada City Hospital,Vijayawada,916636057975,28,3.3,681
Dr. Venkatesh Prakash,Cardiologist,Vijayawada Care Hospital,Vijayawada,917536778950,14,4.4,1415
Dr. Harish Babu,Cardiologist,Anantapur Medical Center,Anantapur,918404681399,27,4.9,1584
Dr. Ravi Krishna,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,916697939765,12,4.8,100
Dr. Rajesh Babu,Cardiologist,Hyderabad Institute of Medical Sciences,Hyderabad,919997823785,27,4.6,1819
Dr. Mahesh Chowdary,Cardiologist,Hyderabad Global Hospital,Hyderabad,919381747775,7,3.8,129
Dr. Ravi Rao,Cardiologist,Vijayawada City Hospital,Vijayawada,919507212752,30,3.7,1730
Dr. Ravi Reddy,Cardiologist,Hyderabad Global Hospital,Hyderabad,918834820954,13,3.8,620
Dr. Mahesh Goud,Cardiologist,Secunderabad Care Hospital,Secunderabad,918755143093,33,3.8,1777
Dr. Rajesh Reddy,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,916495389030,17,3.4,593
Dr. Suresh Sarma,Cardiologist,Hyderabad Trust Hospital,Hyderabad,917866437132,23,4.5,692
Dr. Bhavani Murthy,Cardiologist,Guntur Apollo Hospital,Guntur,916496694873,25,4.8,439
Dr. Venkatesh Kumar,Cardiologist,Rajahmundry City Hospital,Rajahmundry,917872852789,1,4.0,1701
Dr. Tejaswi Kumar,Cardiologist,Vizianagaram City Hospital,Vizianagaram,919186651306,13,3.7,193
Dr. Bhavani Goud,Cardiologist,Kakinada Institute of Medical Sciences,Kakinada,918849227494,8,4.4,665
Dr. Anil Acharya,Cardiologist,Hyderabad Care Hospital,Hyderabad,917754034197,21,3.8,655
Dr. Prasad Rao,Cardiologist,Anantapur Care Hospital,Anantapur,917805803262,25,4.4,1898
Dr. Bhavani Sarma,Cardiologist,Hyderabad Care Hospital,Hyderabad,917292569882,26,4.1,50
Dr. Anil Rao,Cardiologist,Kurnool Care Hospital,Kurnool,917846355528,21,3.9,955
Dr. Swathi Yadav,Cardiologist,Hyderabad Medical Center,Hyderabad,919409067573,11,4.3,631
Dr. Tejaswi Acharya,Cardiologist,Tirupati Memorial Hospital,Tirupati,918659704908,22,3.2,1999
Dr. Tejaswi Varma,Cardiologist,Kakinada Super Speciality Hospital,Kakinada,916964824319,13,3.3,144
Dr. Anusha Sarma,Cardiologist,Hyderabad Institute of Medical Sciences,Hyderabad,919649595613,5,3.9,1864
Dr. Kiran Kumar,Cardiologist,Hyderabad Institute of Medical Sciences,Hyderabad,918990818727,25,4.0,549
Dr. Soujanya Kumar,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,916023814791,7,4.6,498
Dr. Sirisha Murthy,Cardiologist,Hyderabad Trust Hospital,Hyderabad,917995226582,4,4.1,1928
Dr. Sridevi Chowdary,Cardiologist,Secunderabad Medical Center,Secunderabad,919442058095,30,4.3,1194
Dr. Rajesh Babu,Cardiologist,Kakinada Medical Center,Kakinada,919828645201,29,4.2,1523
Dr. Padma Krishna,Cardiologist,Hyderabad Global Hospital,Hyderabad,919894911417,29,4.8,1573
Dr. Sridevi Varma,Cardiologist,Tirupati Memorial Hospital,Tirupati,919228856718,16,4.7,617
Dr. Anusha Acharya,Cardiologist,Vizianagaram City Hospital,Vizianagaram,917027553177,18,3.9,1511
Dr. Ravi Varma,Cardiologist,Rajahmundry Super Speciality Hospital,Rajahmundry,917442454200,21,4.8,215
Dr. Prasad Rao,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,917645124051,10,4.4,181
Dr. Padma Goud,Cardiologist,Guntur Global Hospital,Guntur,918330497115,30,3.8,473
Dr. Lakshmi Prakash,Cardiologist,Guntur Global Hospital,Guntur,919306247679,2,4.7,1617
Dr. Lakshmi Yadav,Cardiologist,Anantapur General Hospital,Anantapur,916025323460,23,3.6,848
Dr. Deepika Kumar,Cardiologist,Guntur General Hospital,Guntur,919155229266,35,4.6,1888
Dr. Anusha Rao,Cardiologist,Hyderabad City Hospital,Hyderabad,917172248246,28,4.0,846
Dr. Tejaswi Acharya,Cardiologist,Vizianagaram Trust Hospital,Vizianagaram,919427995190,26,4.4,1771
Dr. Prasad Sarma,Cardiologist,Visakhapatnam General Hospital,Visakhapatnam,918294043548,2,4.8,1262
Dr. Tejaswi Reddy,Cardiologist,Anantapur Medical Center,Anantapur,916360551585,28,3.3,995
Dr. Venkatesh Varma,Cardiologist,Hyderabad Trust Hospital,Hyderabad,917628238707,21,3.4,719
Dr. Lakshmi Varma,Cardiologist,Ongole Care Hospital,Ongole,919229857594,27,3.5,217
Dr. Srinivas Kumar,Cardiologist,Vijayawada Super Speciality Hospital,Vijayawada,918316787198,4,5.0,766
Dr. Soujanya Naidu,Cardiologist,Hyderabad General Hospital,Hyderabad,919355370399,3,4.5,1994
Dr. Kiran Krishna,Cardiologist,Hyderabad Trust Hospital,Hyderabad,916087531510,10,3.5,1019
Dr. Madhavi Rao,Cardiologist,Secunderabad City Hospital,Secunderabad,917997305752,17,4.5,393
Dr. Bhavani Kumar,Cardiologist,Hyderabad Care Hospital,Hyderabad,919085320828,8,4.6,385
Dr. Suresh Sarma,Cardiologist,Rajahmundry Medical Center,Rajahmundry,916110287971,20,4.2,1909
Dr. Lakshmi Kumar,Cardiologist,Visakhapatnam City Hospital,Visakhapatnam,916851819913,5,4.2,1751
Dr. Suresh Kumar,Cardiologist,Ongole Trust Hospital,Ongole,919317780148,20,4.7,1279
Dr. Madhavi Babu,Cardiologist,Anantapur Global Hospital,Anantapur,916176390590,23,4.1,1404
Dr. Ramesh Murthy,Cardiologist,Vijayawada Memorial Hospital,Vijayawada,918781177100,22,3.0,910
Dr. Suresh Raju,Cardiologist,Vijayawada Apollo Hospital,Vijayawada,917555585773,30,4.4,941
Dr. Swathi Acharya,Cardiologist,Anantapur General Hospital,Anantapur,917159995046,35,4.5,1002
Dr. Madhavi Varma,Cardiologist,Guntur Super Speciality Hospital,Guntur,917384287616,16,4.7,227
Dr. Sridevi Rao,Cardiologist,Rajahmundry Apollo Hospital,Rajahmundry,919223271103,30,4.1,1418
Dr. Rajesh Reddy,Cardiologist,Ongole Apollo Hospital,Ongole,918123030247,21,3.4,484
Dr. Mahesh Goud,Cardiologist,Ongole General Hospital,Ongole,917201124041,18,4.1,1108
Dr. Ramesh Rao,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,919092697141,27,4.0,1602
Dr. Sirisha Yadav,Cardiologist,Hyderabad Institute of Medical Sciences,Hyderabad,918774131811,32,3.9,85
Dr. Anil Rao,Cardiologist,Tirupati Memorial Hospital,Tirupati,917736889606,16,3.6,1241
Dr. Anusha Murthy,Cardiologist,Vijayawada Medical Center,Vijayawada,918280292341,23,3.9,1577
Dr. Rajesh Goud,Cardiologist,Kurnool Institute of Medical Sciences,Kurnool,919018739003,30,3.5,564
Dr. Suresh Kumar,Cardiologist,Hyderabad City Hospital,Hyderabad,916827143233,21,3.2,1147
Dr. Kiran Rao,Cardiologist,Ongole Apollo Hospital,Ongole,919172282824,31,3.6,1257
Dr. Bhavani Varma,Cardiologist,Kurnool Institute of Medical Sciences,Kurnool,916431756350,13,3.6,789
Dr. Anil Reddy,Cardiologist,Hyderabad Medical Center,Hyderabad,919040916238,35,3.3,143
Dr. Deepika Varma,Cardiologist,Hyderabad City Hospital,Hyderabad,918995384868,9,4.3,1591
Dr. Suresh Krishna,Cardiologist,Kurnool Medical Center,Kurnool,916052679490,19,3.9,952
Dr. Naresh Reddy,Cardiologist,Vijayawada Medical Center,Vijayawada,917084386400,31,3.2,183
Dr. Anusha Naidu,Cardiologist,Guntur Institute of Medical Sciences,Guntur,918478286982,4,3.3,1711
Dr. Anil Naidu,Cardiologist,Visakhapatnam Institute of Medical Sciences,Visakhapatnam,917065972034,8,4.1,902
Dr. Bhavani Babu,Cardiologist,Tirupati Apollo Hospital,Tirupati,918656086594,15,4.6,829
Dr. Sridevi Varma,Cardiologist,Vijayawada City Hospital,Vijayawada,919694387705,28,3.6,1321
Dr. Bhavani Kumar,Cardiologist,Hyderabad Medical Center,Hyderabad,916426204934,14,4.3,591
Dr. Naresh Rao,Cardiologist,Kurnool Institute of Medical Sciences,Kurnool,916746523513,5,3.3,886
Dr. Sirisha Sarma,Cardiologist,Vijayawada Apollo Hospital,Vijayawada,918018258729,19,3.1,640
Dr. Sirisha Krishna,Cardiologist,Ongole Institute of Medical Sciences,Ongole,917950049698,5,4.4,1942
Dr. Soujanya Sarma,Cardiologist,Visakhapatnam Medical Center,Visakhapatnam,918839759520,13,3.9,1165
Dr. Soujanya Chowdary,Cardiologist,Hyderabad Global Hospital,Hyderabad,919901597465,18,4.7,196
Dr. Naresh Babu,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,917321182659,19,3.9,1009
Dr. Sirisha Raju,Cardiologist,Ongole Apollo Hospital,Ongole,917169288485,33,4.1,946
Dr. Bhavani Reddy,Cardiologist,Secunderabad Memorial Hospital,Secunderabad,919820042236,28,4.5,1286
Dr. Srinivas Naidu,Cardiologist,Visakhapatnam Medical Center,Visakhapatnam,916983222878,2,5.0,1426
Dr. Madhavi Reddy,Cardiologist,Ongole Trust Hospital,Ongole,919277528204,12,3.9,1384
Dr. Mahesh Chowdary,Cardiologist,Vijayawada Memorial Hospital,Vijayawada,918513971584,28,4.3,1057
Dr. Anusha Goud,Cardiologist,Secunderabad Institute of Medical Sciences,Secunderabad,917753841726,22,3.6,264
Dr. Rajesh Raju,Cardiologist,Kurnool City Hospital,Kurnool,918979305739,32,3.6,1985
Dr. Deepika Reddy,Cardiologist,Guntur Global Hospital,Guntur,917953462417,6,3.6,712
Dr. Lakshmi Krishna,Cardiologist,Vizianagaram Apollo Hospital,Vizianagaram,918210174072,1,4.3,1161
Dr. Padma Reddy,Cardiologist,Vijayawada General Hospital,Vijayawada,916805660882,34,3.7,1599
Dr. Soujanya Yadav,Cardiologist,Visakhapatnam Super Speciality Hospital,Visakhapatnam,919264134512,4,3.4,1174
Dr. Anil Yadav,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,919783207393,32,3.2,1340
Dr. Ravi Kumar,Cardiologist,Vizianagaram Super Speciality Hospital,Vizianagaram,916680229045,20,4.1,1181
Dr. Ramesh Rao,Cardiologist,Guntur Super Speciality Hospital,Guntur,919613809882,8,3.9,290
Dr. Anusha Prakash,Cardiologist,Kakinada Trust Hospital,Kakinada,919077787850,19,4.0,609
Dr. Anusha Yadav,Cardiologist,Tirupati Trust Hospital,Tirupati,917046816259,30,4.1,835
Dr. Bhavani Murthy,Cardiologist,Hyderabad City Hospital,Hyderabad,919205302077,9,4.7,615
Dr. Rajesh Prakash,Cardiologist,Guntur Apollo Hospital,Guntur,919383220511,33,3.5,55
Dr. Anil Krishna,Cardiologist,Ongole Memorial Hospital,Ongole,918520878317,32,4.7,964
Dr. Anusha Goud,Cardiologist,Hyderabad Medical Center,Hyderabad,917427818730,35,3.8,1960
Dr. Kiran Kumar,Cardiologist,Anantapur Trust Hospital,Anantapur,917025662000,25,3.5,1638
Dr. Venkatesh Goud,Cardiologist,Guntur Global Hospital,Guntur,919198484273,31,4.4,1711
Dr. Lakshmi Acharya,Cardiologist,Anantapur Apollo Hospital,Anantapur,919403304832,10,4.0,125
Dr. Swathi Sarma,Cardiologist,Kurnool Super Speciality Hospital,Kurnool,917425906387,7,4.7,951
Dr. Swathi Prakash,Cardiologist,Anantapur Care Hospital,Anantapur,917962491159,1,4.4,889
Dr. Ramesh Yadav,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,919356625550,17,3.7,1468
Dr. Soujanya Naidu,Cardiologist,Guntur Apollo Hospital,Guntur,919658304095,22,4.7,1809
Dr. Lakshmi Goud,Cardiologist,Hyderabad Medical Center,Hyderabad,918692081959,32,4.7,123
Dr. Ramesh Rao,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,918710815922,19,5.0,1579
Dr. Padma Naidu,Cardiologist,Secunderabad Care Hospital,Secunderabad,919265762953,7,3.9,1471
Dr. Srinivas Reddy,Cardiologist,Rajahmundry Institute of Medical Sciences,Rajahmundry,917393178591,4,3.6,817
Dr. Prasad Rao,Cardiologist,Guntur Memorial Hospital,Guntur,918281341978,27,4.1,1673
Dr. Naresh Chowdary,Cardiologist,Hyderabad Medical Center,Hyderabad,916339166473,25,4.2,543
Dr. Madhavi Chowdary,Cardiologist,Vijayawada Memorial Hospital,Vijayawada,916997241761,30,4.3,991
Dr. Tejaswi Reddy,Cardiologist,Rajahmundry Institute of Medical Sciences,Rajahmundry,919860782736,30,4.8,1437
Dr. Naresh Naidu,Cardiologist,Hyderabad Global Hospital,Hyderabad,917897214963,23,5.0,662
Dr. Sirisha Varma,Cardiologist,Guntur Super Speciality Hospital,Guntur,917962094851,20,3.4,837
Dr. Suresh Rao,Cardiologist,Vijayawada Trust Hospital,Vijayawada,917637947177,23,4.1,1482
Dr. Srinivas Krishna,Cardiologist,Rajahmundry Super Speciality Hospital,Rajahmundry,918827075539,26,3.5,1209
Dr. Bhavani Kumar,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,918133427445,19,4.6,521
Dr. Harish Rao,Cardiologist,Anantapur General Hospital,Anantapur,918734252963,13,4.2,1438
Dr. Soujanya Naidu,Cardiologist,Hyderabad Care Hospital,Hyderabad,919880089348,3,3.6,952
Dr. Madhavi Goud,Cardiologist,Hyderabad City Hospital,Hyderabad,919145461251,9,3.2,654
Dr. Padma Chowdary,Cardiologist,Vijayawada Apollo Hospital,Vijayawada,916862407093,9,4.6,1844
Dr. Swathi Murthy,Cardiologist,Vijayawada City Hospital,Vijayawada,919923396682,18,4.7,576
Dr. Anil Kumar,Cardiologist,Vijayawada Institute of Medical Sciences,Vijayawada,919738326480,22,4.6,1009
Dr. Prasad Babu,Cardiologist,Secunderabad Apollo Hospital,Secunderabad,916969007714,26,4.9,1697
Dr. Harish Naidu,Cardiologist,Hyderabad Super Speciality Hospital,Hyderabad,919395953188,26,3.0,1148
Dr. Sridevi Goud,Cardiologist,Kurnool General Hospital,Kurnool,918889775885,17,4.2,1734
Dr. Suresh Acharya,Cardiologist,Vijayawada Care Hospital,Vijayawada,917004257438,31,3.1,1860
Dr. Rajesh Prakash,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,918620283102,15,4.3,1351
Dr. Sirisha Varma,Cardiologist,Tirupati Care Hospital,Tirupati,918788462200,27,3.2,142
Dr. Anil Yadav,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,916498733671,7,3.5,1150
Dr. Lakshmi Yadav,Cardiologist,Tirupati Care Hospital,Tirupati,917593482331,35,3.8,1570
Dr. Padma Acharya,Cardiologist,Vizianagaram Apollo Hospital,Vizianagaram,916425294682,32,4.2,1973
Dr. Venkatesh Kumar,Cardiologist,Rajahmundry Global Hospital,Rajahmundry,917591414076,14,3.9,1996
Dr. Harish Naidu,Cardiologist,Hyderabad Medical Center,Hyderabad,918944974316,24,4.1,1370
Dr. Venkatesh Raju,Cardiologist,Vijayawada Super Speciality Hospital,Vijayawada,917184901787,13,4.9,1993
Dr. Ramesh Acharya,Cardiologist,Vijayawada Apollo Hospital,Vijayawada,916910987546,2,3.1,733
Dr. Prasad Babu,Cardiologist,Hyderabad General Hospital,Hyderabad,918424843951,14,3.1,1617
Dr. Kiran Sarma,Cardiologist,Kakinada Apollo Hospital,Kakinada,916927503999,15,3.7,352
Dr. Srinivas Varma,Cardiologist,Hyderabad Trust Hospital,Hyderabad,919686826237,10,5.0,1156
Dr. Naresh Naidu,Cardiologist,Ongole Apollo Hospital,Ongole,918839220941,2,3.3,783
Dr. Madhavi Goud,Cardiologist,Kurnool Super Speciality Hospital,Kurnool,916067779246,12,3.5,309
Dr. Swathi Naidu,Cardiologist,Tirupati City Hospital,Tirupati,919202607993,5,4.0,1643
Dr. Swathi Sarma,Cardiologist,Vijayawada Global Hospital,Vijayawada,916468383404,29,4.0,1986
Dr. Venkatesh Kumar,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,919363934309,34,3.6,1367
Dr. Venkatesh Yadav,Cardiologist,Hyderabad General Hospital,Hyderabad,919639119547,26,3.9,271
Dr. Sirisha Prakash,Cardiologist,Ongole Memorial Hospital,Ongole,917905085701,5,4.8,709
Dr. Prasad Naidu,Cardiologist,Hyderabad Trust Hospital,Hyderabad,916541988748,18,4.2,1248
Dr. Sirisha Goud,Cardiologist,Hyderabad City Hospital,Hyderabad,917635971911,34,3.6,1085
Dr. Padma Naidu,Cardiologist,Hyderabad Memorial Hospital,Hyderabad,919406321789,8,4.7,1383
Dr. Kiran Raju,Cardiologist,Ongole Care Hospital,Ongole,917939413575,15,3.8,1744
Dr. Lakshmi Raju,Cardiologist,Tirupati Super Speciality Hospital,Tirupati,919133661881,7,3.6,690
Dr. Harish Chowdary,Cardiologist,Rajahmundry Global Hospital,Rajahmundry,918949873860,31,3.1,1753
Dr. Ramesh Raju,Cardiologist,Secunderabad Memorial Hospital,Secunderabad,916414741061,24,4.6,1189
Dr. Madhavi Murthy,Cardiologist,Hyderabad Global Hospital,Hyderabad,918412411754,22,4.3,891
Dr. Tejaswi Babu,Cardiologist,Vijayawada Institute of Medical Sciences,Vijayawada,917816499958,4,4.9,1279
Dr. Harish Naidu,Cardiologist,Rajahmundry Super Speciality Hospital,Rajahmundry,918482141132,33,3.4,1394
Dr. Ravi Krishna,Cardiologist,Tirupati Global Hospital,Tirupati,916464794418,23,4.7,802
Dr. Mahesh Sarma,Cardiologist,Ongole Institute of Medical Sciences,Ongole,916971345904,28,4.7,1621
Dr. Bhavani Acharya,Cardiologist,Hyderabad Trust Hospital,Hyderabad,918760371883,2,4.2,1397
Dr. Srinivas Chowdary,Cardiologist,Rajahmundry Super Speciality Hospital,Rajahmundry,917173687378,20,4.8,768
Dr. Naresh Krishna,Cardiologist,Hyderabad Global Hospital,Hyderabad,916615260464,26,3.1,1567
Dr. Ramesh Kumar,Cardiologist,Hyderabad City Hospital,Hyderabad,918278405793,14,3.8,979
Dr. Naresh Goud,Cardiologist,Vijayawada Care Hospital,Vijayawada,917338472296,21,4.6,1212
Dr. Ramesh Prakash,Cardiologist,Anantapur Medical Center,Anantapur,916225953184,10,3.3,1315
Dr. Tejaswi Naidu,Cardiologist,Ongole Global Hospital,Ongole,917168672809,29,4.3,1044
Dr. Sridevi Raju,Cardiologist,Hyderabad General Hospital,Hyderabad,917173242669,14,4.5,283
Dr. Padma Naidu,Cardiologist,Vizianagaram Super Speciality Hospital,Vizianagaram,917216534332,32,4.1,681
Dr. Ravi Raju,Cardiologist,Kurnool Super Speciality Hospital,Kurnool,918574081104,4,3.0,667
Dr. Prasad Babu,Cardiologist,Hyderabad Apollo Hospital,Hyderabad,917097447932,19,3.7,65
Dr. Padma Chowdary,Cardiologist,Tirupati General Hospital,Tirupati,916554848380,25,4.1,521
Dr. Deepika Krishna,Cardiologist,Hyderabad Global Hospital,Hyderabad,918869245055,23,3.1,1814
Dr. Padma Reddy,Cardiologist,Hyderabad Medical Center,Hyderabad,917974629461,5,4.7,1229
Dr. Madhavi Raju,Cardiologist,Guntur Care Hospital,Guntur,919047274825,27,3.6,879
Dr. Rajesh Chowdary,Cardiologist,Hyderabad Care Hospital,Hyderabad,919441652418,30,4.7,1933
Dr. Ramesh Raju,Cardiologist,Vijayawada Trust Hospital,Vijayawada,919627032705,7,3.5,1256
Dr. Swathi Naidu,Cardiologist,Guntur General Hospital,Guntur,917699805002,20,4.5,503
Dr. Naresh Naidu,Cardiologist,Ongole Apollo Hospital,Ongole,918192509020,8,4.1,447
Dr. Harish Kumar,Cardiologist,Vijayawada Trust Hospital,Vijayawada,919517357447,10,3.5,349
Dr. Kiran Chowdary,Cardiologist,Tirupati Memorial Hospital,Tirupati,918587283948,10,4.5,1392
Dr. Naresh Babu,Cardiologist,Visakhapatnam Memorial Hospital,Visakhapatnam,918697019445,32,3.9,1204
Dr. Sridevi Acharya,Cardiologist,Hyderabad City Hospital,Hyderabad,919969212295,21,4.7,1334
Dr. Prasad Yadav,Cardiologist,Vijayawada City Hospital,Vijayawada,916293287259,31,3.9,670
Dr. Madhavi Reddy,Cardiologist,Rajahmundry Medical Center,Rajahmundry,917511580323,33,3.1,995
Dr. Venkatesh Reddy,Cardiologist,Vijayawada City Hospital,Vijayawada,917583715924,19,3.2,1819
Dr. Bhavani Sarma,Cardiologist,Secunderabad City Hospital,Secunderabad,918177839698,25,3.9,1185
Dr. Sridevi Prakash,Neurologist,Hyderabad Memorial Hospital,Hyderabad,919478132873,13,3.6,1024
Dr. Prasad Reddy,Neurologist,Kakinada Institute of Medical Sciences,Kakinada,917934982045,7,4.6,1764
Dr. Sirisha Naidu,Neurologist,Kakinada General Hospital,Kakinada,918167021467,12,3.1,1499
Dr. Sridevi Murthy,Neurologist,Vijayawada Institute of Medical Sciences,Vijayawada,918245185702,11,3.7,1929
Dr. Lakshmi Raju,Neurologist,Rajahmundry Memorial Hospital,Rajahmundry,919326300928,22,4.4,157
